time_iso8601,forks_cumulative
2023-08-30 00:00:00+00:00,1
2023-09-03 00:00:00+00:00,2
2023-09-07 00:00:00+00:00,3
2023-09-08 00:00:00+00:00,5
2023-09-13 00:00:00+00:00,6
2023-09-16 00:00:00+00:00,7
2023-10-07 00:00:00+00:00,8
2023-10-23 00:00:00+00:00,9
2023-10-24 00:00:00+00:00,10
2023-11-11 00:00:00+00:00,12
2023-11-14 00:00:00+00:00,13
2023-11-15 00:00:00+00:00,14
2023-12-16 00:00:00+00:00,15
2023-12-19 00:00:00+00:00,16
2023-12-27 00:00:00+00:00,17
2024-01-09 00:00:00+00:00,18
2024-01-21 00:00:00+00:00,19
2024-02-28 00:00:00+00:00,20
2024-03-20 00:00:00+00:00,21
2024-05-01 00:00:00+00:00,22
2024-05-17 00:00:00+00:00,23
2024-05-31 00:00:00+00:00,24
2024-06-13 00:00:00+00:00,25
2024-06-22 00:00:00+00:00,26
2024-07-19 00:00:00+00:00,27
2024-08-17 00:00:00+00:00,29
2024-08-23 00:00:00+00:00,30
2024-09-16 00:00:00+00:00,31
2024-11-13 00:00:00+00:00,32
2024-12-21 00:00:00+00:00,33
2025-01-31 00:00:00+00:00,34
2025-04-16 00:00:00+00:00,35
2025-05-07 00:00:00+00:00,36
2025-07-16 00:00:00+00:00,37
2025-07-31 00:00:00+00:00,38
2025-08-08 00:00:00+00:00,39
2025-10-29 00:00:00+00:00,40
2025-11-22 00:00:00+00:00,41
