time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-08 00:00:00+00:00,5362,102,21,9
2026-07-09 00:00:00+00:00,5975,116,9,6
2026-07-10 00:00:00+00:00,11966,119,16,4
2026-07-11 00:00:00+00:00,4920,61,8,4
2026-07-12 00:00:00+00:00,3276,55,19,5
2026-07-13 00:00:00+00:00,5349,115,20,7
2026-07-14 00:00:00+00:00,6578,113,27,8
2026-07-15 00:00:00+00:00,4705,96,2,2
2026-07-16 00:00:00+00:00,4915,91,6,4
2026-07-17 00:00:00+00:00,7167,117,33,10
2026-07-18 00:00:00+00:00,5142,62,8,6
2026-07-19 00:00:00+00:00,2779,45,15,7
2026-07-20 00:00:00+00:00,13491,122,25,7
2026-07-21 00:00:00+00:00,8959,114,23,10
