url_path,views_total,views_unique
/nyadla-sys/whisper.tflite,55,41
/nyadla-sys/whisper.tflite/tree/main/whisper_android,25,10
/nyadla-sys/whisper.tflite/tree/main,11,7
/nyadla-sys/whisper.tflite/tree/main/models,8,7
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app,5,4
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src,5,4
/nyadla-sys/whisper.tflite/tree/main/whisper_android/app/src/main,5,4
/nyadla-sys/whisper.tflite/blob/main/models/generate_tflite_from_whisper.ipynb,4,4
/nyadla-sys/whisper.tflite/blob/main/models/whisper-tiny-en.tflite,3,3
/nyadla-sys/whisper.tflite/issues/47,3,3
